"city","population","confirmed","deaths","death_rate","last_date"
"Baependi","19148","180","7","0.0389","2020-12-10"
"Baldim","7826","167","5","0.0299","2020-12-10"
"BambuÃ­","23829","99","1","0.0101","2020-12-10"
"Bandeira","4795","243","2","0.0082","2020-12-10"
"Bandeira do Sul","5746","66","2","0.0303","2020-12-10"
"Barbacena","137313","1412","25","0.0177","2020-12-10"
"Barra Longa","5131","97","0","0","2020-12-10"
"Barroso","20810","234","2","0.0085","2020-12-10"
"BarÃ£o de Cocais","32485","931","6","0.0064","2020-12-10"
"BarÃ£o de Monte Alto","5397","74","3","0.0405","2020-12-10"
